Bacteria	Cyanobacteria	Cyanophyceae	Minicolumellida	Pseudogymnosolenidae	Pseudogymnosolen
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Agmenellum
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Homoeotrichaceae	Amphithrix
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Rickettsiaformis
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Gamasoxenus
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomastix
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Dermocarpellaceae	Dermocarpella
Bacteria	Cyanobacteria	Cyanophyceae	Cyanophyceae	Porostromataawaitingallocation	Mitcheldeania
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacter
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Streptobacterium
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptotrix
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Caseobacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Parasporobacterium
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Swaminathania
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidibacterium
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Bovimyces
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Plocamobacterium
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Donovania
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidicaldus
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodovarius
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Stigonemataceae	Sommierella
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Spermosira
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Tetrathiobacter
Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Bacteriastrum
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Salinimonas
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Thalassobacillus
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Terriglobus
Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Thermodesulfobium
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Marinimicrobium
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Bacillo
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Borrelomyces
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salirhabdus
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerellopsis
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Edaphobacter
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Umezawaea
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Alkalibacillus
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Zobellella
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rhodoglobus
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Musculomyces
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Myxobacter
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinimonas
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae	Leptolyngbya
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Paucisalibacillus
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Metascardovia
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Stigonemataceae	Doliocatella
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Piscibacillus
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsaopsis
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Pleurocapsaceae	Ercegovicia
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Caldalkalibacillus
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halalkalibacillus
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halolactibacillus
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinokineospora
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridialesincertaesedis	Anaerobranca
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Anaeromusa
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Chamaesiphonaceae	Geitleribactron
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Aphanizomenon
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Hormothamnium
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenivirga
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Vulcanibacillus
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriolyticum
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Daeguia
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetimonas
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Acetomicrobium
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Rhodostichus
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Tenuibacillus
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Symplocastrum
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridialesincertaesedis	Sporanaerobacter
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya
Bacteria	Actinobacteria	Rubrobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Dermocarpellaceae	Krkia
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pelagibacillus
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanocatena
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Rivulariaceae	Gardnerula
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Coelosphaeriaceae	Woronichinia
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Pseudanabaenaceae	Yonedaella
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Gloeotrichiaceae	Gloeotrichia
Bacteria	Actinobacteria	Rubrobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pseudacidovorax
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Brachytrichiopsis
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Stratonostoc
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Mantellum
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Pseudochrobactrum
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salimicrobium
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Asaccharobacter
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Prochloraceae	Prochloron
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Symphyonemataceae	Iyengariella
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Cyanothecaceae	Cyanothece
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Coelosphaeriaceae	Coelosphaeriopsis
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Aquaspirillum
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pontibacillus
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Pseudoscytonema
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Persicitalea
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Lactonifactor
Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Hymenobacteraceae	Effluviibacter
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Mastigocoleus
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Natronocella
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Giesbergeria
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfopila
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Ectothiorhodosinus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Leadbetterella
Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Hymenobacteraceae	Adhaeribacter
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Pleurocapsaceae	Pascherinema
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Kyrtuthrix
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfomusa
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Anaerosporobacter
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Aquisalimonas
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ethanoligenens
Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Hymenobacteraceae	Pontibacter
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Lauterbornia
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiisalibacter
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Tepidimicrobium
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Scytonematopsis
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoluna
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Limibacter
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfovermiculus
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Tolypothrichaceae	Coleodesmium
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Paraferrimonas
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiferula
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Lishizhenia
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Sirocoleum
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanonephron
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfothermus
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Sphaerodictyon
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Aphanothecaceae	Myxobactron
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Thalpophila
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Perexilibacter
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Bacillosiphon
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Arthrosiphon
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoriella
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Hydrococcaceae	Onkonema
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Yeosuana
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Hydrococcaceae	Hormathonema
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Pleurocapsaceae	Nematoradaisia
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Lemmermanniella
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Alternantia
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinicola
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fabibacter
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cyanospira
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Chamaesiphonaceae	Cyanophanon
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nematonostoc
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Microcystiopsis
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Catellicoccus
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Proterendothrix
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Hyalangium
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Albrightia
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Haverhillia
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Camptothrix
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Gloeotrichiaceae	Gleoetrichia
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Stigonemataceae	Pulvinularia
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Symphyonemataceae	Herpyzonema
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Chlorogloeopsidaceae	Heterocyanococcus
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Pseudanabaenaceae	Pseudanabaena
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zeaxanthinibacter
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Pseudanabaenaceae	Jaaginema
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Gomontiellaceae	Katagnymene
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Galbibacter
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Rapidithrix
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Angulomicrobium
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zunongwangia
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gilvibacter
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Ampullariella
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Alkalibacter
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbyopsis
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Homoeotrichaceae	Ammatoidea
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Pilibacter
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zhouia
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Vitellibacter
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Donghaeana
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Stenothermobacter
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Epilithonimonas
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flagellimonas
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Aphanothecaceae	Aphanothece
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Asterocapsa
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Palaeolyngbya
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Chamaesiphonaceae	Chamaesiphon
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sandarakinotalea
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutimonas
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Xenococcaceae	Xenotholos
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Actibacter
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Hydrococcaceae	Palaeohydrococcus
Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoriopsis
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gaetbulibacter
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Blastobacter
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sediminibacter
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lacinutrix
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halovibrio
Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Symphyosiphon
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flaviramulus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Blastochloris
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanothamnos
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Entophysalidaceae	Cyanoarbor
Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Cyanosarcina
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Krokinobacter
Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Nevskiaceae	Diplokokkus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Pseudidiomarina
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Lapillicoccus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sediminicola
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sejongia
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Persicivirga
